StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Consent ","Age ","Gender ",OMSI,"Prolific ID ",U_1,U_2,U_3,U_4,U_5,U_6,U_7,U_8,U_9,U_10,U_11,U_12,U_13,U_14,U_15,U_16,U_17,U_18,U_19,U_20,U_21,"U_Rel ",P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_Rel,Music check,PROLIFIC_PID
2025-09-02 04:18:31,2025-09-02 04:25:21,0,86.9.64.7,100,410,1,2025-09-02 04:25:21,R_2E5RMG6uzLHBSZ0,,,,,53.3361,-2.1644,anonymous,EN,2,61,1,1,55ac3198fdf99b6de3b68b23,5,3,4,3,4,2,5,4,4,3,4,3,3,4,4,3,4,4,4,3,1,1,2,3,3,5,4,3,4,3,5,2,4,4,3,3,4,3,2,4,4,3,2,2,55ac3198fdf99b6de3b68b23
2025-09-02 04:23:36,2025-09-02 04:25:49,0,82.14.129.53,100,133,1,2025-09-02 04:25:49,R_8jUQKuyBV1TpY53,,,,,51.4863,-0.1916,anonymous,EN,2,21,2,2,6132111b5009ce6f407e6efc,4,2,3,2,4,4,3,4,4,4,4,4,4,3,3,3,3,3,4,2,1,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,4,5,5,5,4,2,6132111b5009ce6f407e6efc
2025-09-02 04:22:33,2025-09-02 04:26:11,0,82.45.34.246,100,218,1,2025-09-02 04:26:12,R_80AZWe63GTNomCq,,,,,52.323,-1.8952,anonymous,EN,2,45,2,1,5c26ac6163e1d8000103824f,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,4,4,3,3,4,4,3,4,3,4,4,3,3,3,3,4,3,3,4,4,3,3,4,3,3,2,5c26ac6163e1d8000103824f
2025-09-02 04:23:17,2025-09-02 04:26:15,0,86.157.87.197,100,177,1,2025-09-02 04:26:15,R_2j6t6jF9dqJA9tw,,,,,53.9882,-1.5322,anonymous,EN,2,48,2,2,6658cc258f1ee667f4264111,4,4,5,3,3,4,5,4,5,3,5,3,5,4,4,4,5,4,4,4,1,2,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,2,2,6658cc258f1ee667f4264111
2025-09-02 04:25:21,2025-09-02 04:27:06,0,45.148.14.40,100,105,1,2025-09-02 04:27:07,R_8l0EdZ9SYoT6Scv,,,,,51.4719,-0.1616,anonymous,EN,2,47,1,1,5f0f6811a0ed4a11dbc57b79,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,2,5f0f6811a0ed4a11dbc57b79
2025-09-02 04:25:20,2025-09-02 04:27:18,0,147.188.251.5,100,117,1,2025-09-02 04:27:18,R_2WIpcn7C6DyAX3Q,,,,,52.4606,-1.9238,anonymous,EN,2,33,2,3,61364d250433ee40764f71b4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,61364d250433ee40764f71b4
2025-09-02 04:25:33,2025-09-02 04:28:02,0,81.151.210.229,100,148,1,2025-09-02 04:28:02,R_2rd18bBW87mnLJ7,,,,,50.2648,-5.0576,anonymous,EN,2,36,2,1,67d01671bd666a9fb9c603fb,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,67d01671bd666a9fb9c603fb
2025-09-02 04:27:11,2025-09-02 04:30:25,0,86.168.211.241,100,194,1,2025-09-02 04:30:26,R_8zo9qF8kaINjs3h,,,,,54.6017,-7.292,anonymous,EN,2,27,2,2,5e204990b062543612e9a254,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,1,4,4,3,3,4,4,3,3,3,3,4,4,3,4,3,3,4,4,4,3,3,2,5e204990b062543612e9a254
2025-09-02 04:33:25,2025-09-02 04:37:50,0,77.101.61.126,100,264,1,2025-09-02 04:37:50,R_2GCXkuyNQoA8Es5,,,,,51.6449,-0.043,anonymous,EN,2,40,1,2,5fd8ea198512a801831f6b85,4,5,5,3,3,5,4,5,5,4,5,5,5,5,5,5,5,4,4,4,1,3,5,5,4,4,4,5,4,5,5,4,5,4,5,5,5,5,5,4,5,4,4,2,5fd8ea198512a801831f6b85
2025-09-02 05:06:38,2025-09-02 05:08:47,0,80.192.204.31,100,128,1,2025-09-02 05:08:47,R_2lSvqjLJNsM3lot,,,,,51.2738,0.4977,anonymous,EN,2,21,2,2,5f0db498f5e4e102c0f65b67,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,2,5f0db498f5e4e102c0f65b67
