"","E","D","R","M","F","G","L","C","X","B","I","A","VigNro","ProlificID"
"21",-0.262091916493968,-0.193859487154548,-1.64232585289596,0.0411688177035883,-0.220225951643564,0.741616219863985,0.222486911587468,-1.12158199896448,0.270350996072334,-1.6113999268582,-0.74636425999174,-0.807557668725602,1,"67911515704f23af2882fef6"
"22",0.177453961246767,-0.912496256705982,-0.632505029801312,-1.05245785343206,-0.394705263371067,0.972994708072378,0.344098619314502,0.0202172148313618,-0.941109384155241,-1.53070398786521,-0.540944212537383,0.200337735760437,1,"598517f52e38840001455b12"
"23",0.102580983700612,0.244519347961244,0.0964141281497045,0.343254098852394,0.166351259672824,0.864875314985007,0.561465777480124,0.105395487345856,0.396401392493763,1.48555799809191,0.665848502193442,0.299566409412962,1,"5ece9e3b3a19db0cf5af6692"
"24",-0.0948357476378047,-0.0751422316299592,-0.0179568595119378,0.265786327982655,-0.216091635554591,0.380514624103747,-1.23241072866476,-0.506869733001211,-0.087807276003467,0.2426006306165,-0.288422699021208,-0.305045445297104,1,"66854df2e5fef4239ff63a7d"
"25",0.707194680036992,0.140683859370953,0.0120392615121225,0.166580080497308,-0.267834770888406,1.12760952176869,0.720282652609593,0.709908375872113,0.832423046391275,0.295394380234868,-0.0659842429316344,0.644140682277891,1,"66640059232bcc6a15b24803"
"26",0.187478407409835,-0.954567479625705,-0.59167027675313,-0.698321131143966,-0.638790301220562,0.833193625178712,-0.362915568273832,0.083421953988263,-0.448612922843283,1.33591607248759,-0.218815934601971,0.33177684187762,1,"5e3f04fdb721da159417a725"
"27",0.232264254778879,-0.725830961577686,0.37338527916389,-0.155604770442402,0.414256489154912,1.42762044102311,-0.433990018253403,0.135820152173637,0.0761815196079051,-1.48258026074728,0.570403870612019,0.228547172545775,1,"6294ce94ea81c4554b141010"
"28",-0.12744243920187,-1.81638630128209,-0.170054631497162,-0.807457269867439,-1.34499381319397,0.581144088197387,-1.55903199977111,-1.23585124237824,-0.458725081950134,0.170296853193617,-0.190766905359818,0.0267424414320105,1,"5a6b844fe6cc4a0001b6a656"
"29",-0.302405271142262,-0.694352502665368,-0.0493613499255632,-0.540089580085288,-0.479087467859253,0.348250636430593,-0.916886802689275,-0.576366721736725,-0.479585984838176,-1.55690843268612,0.0701109615761321,-0.353144801392819,1,"5ea1d789f5c6d70c14fbe739"
"30",0.220985071198735,0.299518377618351,-0.713766106665397,0.976667589312047,-0.582288689207273,0.813496035779355,0.554731812646527,-0.0375356563171734,0.774800717864647,0.239400322086047,-0.169360094508595,0.0118944131655937,1,"677a444780108278c1d722e6"
